DMCODE,Anlage,OEFFNUNGSZEIT,DRUCKKORREKTUR_SOLL,Heizkreis11Beginn,Heizkreis11Max,Heizkreis11Ende,Heizkreis12Beginn,Heizkreis12Max,Heizkreis12Ende,Kuehlkreis2TempBeginn,Kuehlkreis9Durchfl.Max,Kuehlkreis11Durchfl.Max,Kuehlkreis15TempMax,Kuehlkreis17Durchfl.Max,Kuehlkreis22Durchfl.Max,Kuehlkreis23Durchfl.Max,Kuehlkreis27Durchfl.Ende,Kuehlkreis28Durchfl.Beginn,Thermo5Beginn
23550090240106,N35,211,0,519.6,531,524,520.8,529.2,524.4,350.6,59,64.7,6:21:02,38.2,0.94,0.9,1,0.02,6:23:25
23550090240106,N35,211,0,519.6,531,524,520.8,529.2,524.4,350.6,59,64.7,6:21:02,38.2,0.94,0.9,1,0.02,6:23:25
23550210240106,N35,183,0,520.2,530.6,524.2,521.2,529.8,524.6,348.2,59,65.6, ,38.2,0.92,0.86,0.96,0.02,6:23:25
23550220240106,N35,194,0,520,530.8,524,521.2,529,524.8,349.8,59,65.4,6:22:02,38.2,0.92,0.86,1,0.02,6:23:25
23550280240106,N35,188,0,520.4,530.2,524,521,528.8,524,353.2,59,65.6,6:22:02,38.2,0.92,0.88,0.94,0.02,6:23:25
23550320240106,N35,226,0,520,531,524,521,529.6,524.6,346.6,59.7,65.6,6:22:02,38.2,0.92,0.88,0.96,0.02,6:23:25
23550340240106,N35,1487,0,622,652.8,652.8,624.2,654.8,654.6,275.8,59.7,3,6:03:02,38.1,0.98,0.94,0.98,0.02,5:59:02
23550390240106,N35,189,0,520,530,524,521.2,528.8,524.6,352.8,59,65.6,6:23:08,38.1,0.9,0.84,0.98,0.02,6:23:25
23550430240106,N35,193,0,520,530.2,524,521,528.8,524.4,353.8,59.7,66.4,6:21:06,38.1,0.94,0.88,1,0.02,6:23:25
23550470240106,N35,184,0,520.2,530.2,524.2,521.4,529,524.2,354.4,58.4,65.3,6:23:08,37.3,0.94,0.9,1,0.02,6:23:25
23550490240106,N35,185,0,520.2,530.6,524,521.4,528.6,524.2,354.4,59.1,65.8,6:25:06,38.1,0.94,0.9,1,0.02,6:23:25
23550500240106,N35,192,0,520.4,530.2,524.2,521,528.8,524.2,353.8,59,65.6,6:24:04,38.1,0.94,0.88,1,0.02,6:23:25
23550560240106,N35,190,10,520.4,530.4,524.2,521.2,529,524.6,349.8,59.7,65.6,6:21:02,38.1,0.9,0.86,0.98,0.02,6:23:25
23550560240106,N35,190,10,520.4,530.4,524.2,521.2,529,524.6,349.8,59.7,65.6,6:21:02,38.1,0.9,0.86,0.98,0.02,6:23:25
23550560240106,N35,190,10,520.4,530.4,524.2,521.2,529,524.6,349.8,59.7,65.6,6:21:02,38.1,0.9,0.86,0.98,0.02,6:23:25
23550560240106,N35,190,10,520.4,530.4,524.2,521.2,529,524.6,349.8,59.7,65.6,6:21:02,38.1,0.9,0.86,0.98,0.02,6:23:25
23550560240106,N35,190,10,520.4,530.4,524.2,521.2,529,524.6,349.8,59.7,65.6,6:21:02,38.1,0.9,0.86,0.98,0.02,6:23:25
23550570240106,N35,224,10,520,530.6,524.2,521.2,529.4,524.8,348.2,59.1,65.6, ,38.1,0.94,0.88,0.98,0.02,6:23:25
23550610240106,N35,183,10,520.2,530,524,521.2,529,524.6,355.4,58.4,65.6,6:23:08,38.1,0.9,0.84,0.98,0.02,6:23:25
23550660240106,N35,193,10,520.6,530.2,524,521.2,529,524.6,355,59,65.6,6:24:08,38.1,0.92,0.84,0.96,0.02,6:23:25
23550750240106,N35,184,0,520.6,530.2,524.2,521.4,529,524.6,350.6,59,65.3,6:22:02,38.1,0.92,0.86,1,0.02,6:23:25
23550800240106,N35,252,0,520.6,531,523.8,521.6,529.8,524.2,344.8,58.3,65, ,38.1,0.9,0.8,0.96,0.02,1233:04:07
23550880240106,N35,247,0,520.2,531,524,521,530,524.4,332.6,60.3,65.8,6:17:08,38.1,0.94,0.88,1,0.02,1233:04:07
23550940240106,N35,217,0,520.4,531,524.2,521.2,530,524.6,343.2,59.7,66.3, ,38.1,0.94,0.88,1,0.02,1233:04:07
23551110250106,N35,197,0,520,530.6,524,521.2,529.4,524.2,347.2,58.3,64.8,6:18:04,37.2,0.9,0.86,0.96,0.02,6:23:25
23551150250106,N35,190,0,520,530.2,524,521,529.4,524.4,351.6,58.3,65.3,6:22:02,38.1,0.92,0.86,0.96,0.02,6:23:25
23551180250106,N35,277,0,520.2,531.8,524,521,530,524.8,343.8,59,65.6,6:19:06,38.1,0.92,0.86,0.98,0.02,1233:04:07
23551200250106,N35,195,0,520,531,524.8,521,529.8,524.2,349.4,59.7,65.6,6:22:08,38.1,0.94,0.9,1,0.02,6:23:25
23551250250106,N35,189,0,520.4,529.8,524,521.6,529,524.6,351,58.3,65.6,6:22:08,38.1,0.94,0.88,1,0.02,6:23:25
23551260250106,N35,182,0,520.2,530,524,521.2,529,524.2,353.8,59,64.5,6:22:08,38.1,0.94,0.9,1,0.02,6:23:25
23551270250106,N35,176,0,520.8,529.4,524,521.2,528.6,524.4,355.4,59,64.3,6:24:04,38.1,0.94,0.88,1,0.02,6:23:25
23551270250106,N35,176,0,520.8,529.4,524,521.2,528.6,524.4,355.4,59,64.3,6:24:04,38.1,0.94,0.88,1,0.02,6:23:25
23551270250106,N35,176,0,520.8,529.4,524,521.2,528.6,524.4,355.4,59,64.3,6:24:04,38.1,0.94,0.88,1,0.02,6:23:25
23551270250106,N35,176,0,520.8,529.4,524,521.2,528.6,524.4,355.4,59,64.3,6:24:04,38.1,0.94,0.88,1,0.02,6:23:25
23551270250106,N35,176,0,520.8,529.4,524,521.2,528.6,524.4,355.4,59,64.3,6:24:04,38.1,0.94,0.88,1,0.02,6:23:25
23551310250106,N35,185,0,520.2,530.2,524.2,521.2,529,524.6,354.4,59,65.3,6:23:08,38.1,0.94,0.9,1,0.02,6:23:25
23551320250106,N35,215,0,520,530.6,524.2,521.6,529.6,524.2,352.2,59,65,6:22:02,38.1,0.96,0.9,1,0.02,6:23:25
23551370250106,N35,192,0,520,530.2,524,520.8,529,524.6,352.8,58.3,64.8,6:22:08,38.1,0.96,0.9,1,0.02,6:23:25
23551400250106,N35,430,0,628.6,654.2,523,632.2,656.8,522,269.6,59.7,4.2,5:53:08,38.1,1.14,0.9,1,0.02,5:17:02
23551440250106,N35,246,0,522.2,530.4,524.2,522.2,529.6,524.6,338.2,59.7,64.9,6:14:06,38.1,0.94,0.9,1.02,0.02,1233:04:07
23551480250106,N35,177,0,520.4,530,524.2,521,529,524.6,354.4,58.4,65,6:21:06,38.2,0.94,0.9,0.98,0.02,6:23:25
23551530250106,N35,169,0,520.2,529.8,524.2,521.2,529,524.6,356,59.7,65.6,6:21:06,38.3,0.96,0.9,1,0.02,6:31:02
23551610250106,N35,187,10,520.2,530,524,521.8,529,524.4,353.2,58.4,65.5,6:23:02,38.2,0.94,0.9,0.98,0.02,6:23:25
23551640250106,N35,188,10,520.2,530.2,524.2,521.2,529.2,524.6,354.4,58.4,65.4,6:23:02,38.3,0.94,0.88,0.96,0.02,6:23:25
23551650250106,N35,193,10,520.4,530.6,524,521.6,529,524.4,355,59.7,65.6,6:23:08,38.3,0.94,0.9,0.96,0.02,6:23:25
23551830250106,N35,181,10,520.2,530.2,524.2,521.2,529,524.6,357.6,58.4,64.9,6:24:08,38.2,0.92,0.88,0.9,0.02,6:31:02
23551840250106,N35,186,10,520,530,524,521,528.8,524.4,357.6,59,65,6:25:06,38.2,0.92,0.88,0.92,0.02,6:31:02
23551940250106,N35,197,0,520.2,531,524.2,521.2,530,524.4,337.2,59.7,65.6,6:15:06,38.1,0.94,0.9,1,0.02,1233:04:07
23551950250106,N35,169,0,520.6,530,523.8,521.2,529.6,524.2,344.8,59.1,65.6,6:15:02,38.1,0.94,0.9,1,0.02,1233:04:07
23551970250106,N35,201,0,520,531,524.2,521,529.6,524.6,348.8,59.7,64.8,6:18:08,38.1,0.94,0.9,1,0.02,6:23:25
23551970250106,N35,201,0,520,531,524.2,521,529.6,524.6,348.8,59.7,64.8,6:18:08,38.1,0.94,0.9,1,0.02,6:23:25
23551970250106,N35,201,0,520,531,524.2,521,529.6,524.6,348.8,59.7,64.8,6:18:08,38.1,0.94,0.9,1,0.02,6:23:25
23551970250106,N35,201,0,520,531,524.2,521,529.6,524.6,348.8,59.7,64.8,6:18:08,38.1,0.94,0.9,1,0.02,6:23:25
23551970250106,N35,201,0,520,531,524.2,521,529.6,524.6,348.8,59.7,64.8,6:18:08,38.1,0.94,0.9,1,0.02,6:23:25
23551980250106,N35,166,0,520.6,530.2,524,521.6,529.2,524.6,352.8,59.1,64.9,6:21:02,38.1,0.92,0.88,1,0.02,6:23:25
23552000250106,N35,188,0,520.2,530.4,524,521.2,529.2,524.6,351.6,59.1,65.4,6:20:06,38.1,0.94,0.88,1,0.02,6:23:25
23552030260106,N35,46428,0,620.2,652.6,652.6,595,635,635,196.8,2.3,2.9,2305:12:02,3.2,0.988658009,0,0.964193548,0.02,7:20:05
23552030260106,N35,46428,0,620.2,652.6,652.6,595,635,635,196.8,2.3,2.9,2305:12:02,3.2,0.988658009,0,0.964193548,0.02,7:20:05
23552030260106,N35,46428,0,620.2,652.6,652.6,595,635,635,196.8,2.3,2.9,2305:12:02,3.2,0.988658009,0,0.964193548,0.02,7:20:05
