DMCODE,GiessenErgebnis,Anlage,OEFFNUNGSZEIT,DRUCKKORREKTUR_SOLL,Heizkreis11Beginn,Heizkreis11Max,Heizkreis11Ende,Heizkreis12Beginn,Heizkreis12Max,Heizkreis12Ende,Kuehlkreis2TempBeginn,Kuehlkreis9Durchfl.Max,Kuehlkreis11Durchfl.Max,Kuehlkreis15TempMax,Kuehlkreis17Durchfl.Max,Kuehlkreis22Durchfl.Max,Kuehlkreis23Durchfl.Max,Kuehlkreis27Durchfl.Ende,Kuehlkreis28Durchfl.Beginn,Thermo5Beginn
23354130200106,0,N33,189,0,641.2,641.2,524.6,639.4,639.4,524.2,328.8,58.5,74.1,381.8275862,31.6,0.96,0.92,0.64,0.020761905,364.7
23354170200106,0,N33,214,0,521.6,528.4,525,521,529.2,524.8,346,57.9,75.9,331.775,31.4,1.02,0.94,0.66,0.020761905,378.4
23354210200106,0,N33,185,0,522,528.2,525,521.6,529.2,524.6,350.6,59.9,76.4,331.775,31.4,1,0.96,0.68,0.020761905,383.8
23354220200106,0,N33,220,0,521.4,528.2,525,521.4,529,524.6,348.8,60.5,74.6,331.775,31.4,1.02,0.94,0.68,0.020761905,381.6
23354230200106,0,N33,187,0,521.8,528.6,525,521.6,529,524.6,351.6,57.9,72,331.775,31.4,0.98,0.92,0.66,0.020761905,384.4
23354240200106,0,N33,283,0,521.8,528.6,524.8,521.6,529.6,524.8,343.2,58.6,75.7,331.775,31.4,1,0,0.66,0.020761905,373.4
23354260200106,0,N33,1549,0,648,655.8,648.6,649,657,649.2,291.8,3.3,3.3,381.8275862,31.3,1.02,0,0.66,0.020761905,329.3
23354270200106,0,N33,215,0,646.6,655,650,646.8,657,649.8,327,57.9,72.8,381.8275862,32.4,1,0.96,0.68,0.020761905,363.6
23354350200106,0,N33,236,0,522.6,528,524.6,522.2,529,524.8,347.2,59.2,75.9,331.775,31.7,0.98,0.92,0.66,0,381.1
23354380200106,0,N33,209,0,522,528.8,525,521.6,529,524.8,346,59.2,75.1,331.775,31.4,1.04,0.98,0.66,0.020761905,379.5
23354530200106,1,N33,190,0,522,534.4,534.4,521.8,536.8,536.8,344.8,58,73.3,381.8275862,31.4,1.06,0.92,0.66,0,376.2
23354530200106,1,N33,190,0,522,534.4,534.4,521.8,536.8,536.8,344.8,58,73.3,381.8275862,31.4,1.06,0.92,0.66,0,376.2
23354530200106,1,N33,190,0,522,534.4,534.4,521.8,536.8,536.8,344.8,58,73.3,381.8275862,31.4,1.06,0.92,0.66,0,376.2
23354530200106,1,N33,190,0,522,534.4,534.4,521.8,536.8,536.8,344.8,58,73.3,381.8275862,31.4,1.06,0.92,0.66,0,376.2
23354530200106,1,N33,190,0,522,534.4,534.4,521.8,536.8,536.8,344.8,58,73.3,381.8275862,31.4,1.06,0.92,0.66,0,376.2
23354610200106,0,N33,209,0,522,528.2,524.8,521.8,529,524.6,348.2,57.9,73.6,331.775,31.4,0.94,0.88,0.68,0.020761905,380
23354730200106,0,N33,293,0,647.8,654.8,650,649.2,655,650,342.2,59.2,74.3,381.8275862,32.3,1.02,0.9,0.66,0.020761905,383.3
23354800200106,1,N33,285,0,647.6,656,650.6,647.8,655.8,650,344.2,65.1,75.4,381.8275862,31.4,1,0.96,0.68,0.020761905,378.4
23354800200106,1,N33,285,0,647.6,656,650.6,647.8,655.8,650,344.2,65.1,75.4,381.8275862,31.4,1,0.96,0.68,0.020761905,378.4
23354800200106,1,N33,285,0,647.6,656,650.6,647.8,655.8,650,344.2,65.1,75.4,381.8275862,31.4,1,0.96,0.68,0.020761905,378.4
23354800200106,1,N33,285,0,647.6,656,650.6,647.8,655.8,650,344.2,65.1,75.4,381.8275862,31.4,1,0.96,0.68,0.020761905,378.4
23354800200106,1,N33,285,0,647.6,656,650.6,647.8,655.8,650,344.2,65.1,75.4,381.8275862,31.4,1,0.96,0.68,0.020761905,378.4
23354810200106,0,N33,1869,0,651,656.2,650.6,650.8,657,651,274,3.3,3.3,381.8275862,32.3,0.96,0,0.64,0.020761905,306.4
23354830200106,0,N33,186,0,521.8,528,524.6,521.4,529,524.6,333.8,58.6,77.1,331.775,31.4,0.96,0,0.66,0,366.3
23354950200106,1,N33,246,0,522,566,566,521.6,569,569,337.6,58.6,74.3,381.8275862,32.3,1.04,0.96,0.66,0.020761905,367.4
23354950200106,1,N33,246,0,522,566,566,521.6,569,569,337.6,58.6,74.3,381.8275862,32.3,1.04,0.96,0.66,0.020761905,367.4
23354950200106,1,N33,246,0,522,566,566,521.6,569,569,337.6,58.6,74.3,381.8275862,32.3,1.04,0.96,0.66,0.020761905,367.4
23354950200106,1,N33,246,0,522,566,566,521.6,569,569,337.6,58.6,74.3,381.8275862,32.3,1.04,0.96,0.66,0.020761905,367.4
23354950200106,1,N33,246,0,522,566,566,521.6,569,569,337.6,58.6,74.3,381.8275862,32.3,1.04,0.96,0.66,0.020761905,367.4
23355030200106,0,N33,215,0,522,528,524.8,521.8,529,524.6,343.8,59.2,75.9,331.775,31.8,1,0.96,0.66,0.020761905,375.1
23355070200106,1,N33,208,0,521.8,528,524.8,521.4,528.8,524.8,347.8,58.6,75.9,331.775,31.7,1.02,0.96,0.66,0.020761905,379.5
23355070200106,1,N33,208,0,521.8,528,524.8,521.4,528.8,524.8,347.8,58.6,75.9,331.775,31.7,1.02,0.96,0.66,0.020761905,379.5
23355070200106,1,N33,208,0,521.8,528,524.8,521.4,528.8,524.8,347.8,58.6,75.9,331.775,31.7,1.02,0.96,0.66,0.020761905,379.5
23355070200106,1,N33,208,0,521.8,528,524.8,521.4,528.8,524.8,347.8,58.6,75.9,331.775,31.7,1.02,0.96,0.66,0.020761905,379.5
23355070200106,1,N33,208,0,521.8,528,524.8,521.4,528.8,524.8,347.8,58.6,75.9,331.775,31.7,1.02,0.96,0.66,0.020761905,379.5
23355080200106,0,N33,211,0,521.8,528.2,524.6,521.2,529,524.8,348.8,59.2,76.4,331.775,32.3,1,0.94,0.66,0.020761905,379.5
23355150200106,0,N33,224,0,521.8,528.6,524.6,521.4,529,524.6,343.8,59.2,75.9,331.775,32.3,1,0.96,0.7,0,375.1
23355170200106,0,N33,223,0,521.8,528.6,524.4,521.2,529.2,524.2,345.6,60.5,75.9,331.775,32.7,1.06,0,0.7,0,377.3
23355190230106,1,N33,284,0,599.8,601.8,409.8,599.6,602.8,404.2,403,3.2,3.1,432.6,2.2,0,0.02,0.656842105,0.020761905,440.5
23355190230106,1,N33,284,0,599.8,601.8,409.8,599.6,602.8,404.2,403,3.2,3.1,432.6,2.2,0,0.02,0.656842105,0.020761905,440.5
23355190230106,1,N33,284,0,599.8,601.8,409.8,599.6,602.8,404.2,403,3.2,3.1,432.6,2.2,0,0.02,0.656842105,0.020761905,440.5
23355190230106,1,N33,284,0,599.8,601.8,409.8,599.6,602.8,404.2,403,3.2,3.1,432.6,2.2,0,0.02,0.656842105,0.020761905,440.5
23355190230106,1,N33,284,0,599.8,601.8,409.8,599.6,602.8,404.2,403,3.2,3.1,432.6,2.2,0,0.02,0.656842105,0.020761905,440.5
